title,composer,price,publication_type,first_part,second_part,third_part,fourth_part,fifth_part,tempo,arrangement_difficulty,solo_difficulty,post_content,leader,album_name,label_info,personnel,date_recorded,composer_biography,product_url
Forty Acres And A Mule,"Watson, Robert",20,Quintet,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,,,,Medium swing,medium,advanced,"More swinging arrangements by BOBBY WATSON are available from this recording of Watson's Horizon group, featuring Victor Lewis, Roy Hargrove, and Curtis Lundy, all of whom also have arrangements available in this catalog. The group also recorded a composition by Bobby's wife Pamela, a pianist, vocalist and composer  (<I>And Then Again</I>).
QUINTET INSTRUMENTATION
Front Line: B-flat, E-flat, C treble clef, C bass clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
The melody is deceptively easy, foregoing rhythmic challenges for the harmonic battle which lies ahead in the solo section. Great for pushing the harmonic envelope for a skilled group.
SOLOS: The changes are difficult and unpredictable, but will often lead a skilled improviser along  previously unexplored paths.",BOBBY WATSON & HORIZON,NO QUESTION ABOUT IT,Blue Note: CDP 7 90262,"BOBBY WATSON (alto sax), ROY HARGROVE (trumpet), FRANK LACY (trombone), JOHN HICKS (piano), CURTIS LUNDY (bass), VICTOR LEWIS (drums)","Recorded May 1, 1988","BOBBY WATSON (b. 1953). One of the most gifted composers and arrangers in Jazz today, versatile alto-saxophonist Bobby Watson has recorded his compositions on more than 30 albums in diverse settings from sax quartets as a member of the 29th Street Saxophone Quartet, to combos with his group Horizon, to his ""Tailor Made"" big band. After receiving his degree in music theory and composition from the University of Miami, Bobby completed his jazz education in the late '70s as a member of Art Blakey's Jazz Messengers where he served as music director for 2 years in a group that included Wynton Marsalis, James Williams, Billy Pierce and Charles Fambrough. A recipient of an NEA grant for composition and a frequent clinician across the country, Bobby's works such as Appointment In Milano, Wheel Within A Wheel, Conservation and Beatitudes have been recorded by Blakey, Wynton Marsalis, Kevin Mahogany, T.S. Monk and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=752
K.D.: 30 Compositions,"Dorham, Kenny",10,Piano Solo,Piano,,,,,,medium,,"Arranged for Solo Piano by WALTER DAVIS, Jr.
KENNY DORHAM: jazz legend, master composer, arranger and performer. His unique and compelling voice on trumpet is well documented on recordings. Now K.D.'s music is presented in print, through the eyes, ears and heart of friend and fellow Jazz Messenger, pianist WALTER DAVIS, JR. These piano arrangements give all musicians the opportunity to enjoy and study many of the subtle complexities of Kenny's compositions and to explore the rhythmic and harmonic fabric of his music. All 30 compositions have been recorded by major jazz artists. Complete with recording credits, chord symbols and instructions for expanding the arrangements to include improvised solo choruses. Contents include:
<B>Back Road
Blue Interlude
Blue Spring
Brown's Town
Buffalo
Butch's Blues
Dorham's Epitaph
Escapade
The Fox
High Seas
Jazz-Classic
K.D.'s Cab Ride
Karioka
La Mesha
Newport
News
Night Watch
An Oscar For Oscar
Passion Spring
Pedro's Time
Philly Twist
Poetic Spring
Speculate
Spring Cannon
Stage West
Sunrise In Mexico
Sunset
Trompeta Toccata
Una Mas
Whistle Stop
Windmill</B>",,,,,,"KENNY DORHAM (1924-1972). A founding member of The Jazz Messengers, along with Art Blakey, Horace Silver and Hank Mobley, Kenny replaced Clifford Brown in Max Roach's Quintet in 1956. Prior to that, he played with Dizzy Gillespie and Billy Eckstine and was part of Charlie Parker's group in 1948-1949. In the 1950s and '60s he made nearly 2 dozen records as a leader, including such Blue Note classics as ""Whistle Stop,"" ""Una Mas,"" and ""Trompeta Toccata"" (each with compositions of the same name), with sidemen including Joe Henderson, Tommy Flanagan, Paul Chambers, Sonny Rollins, Herbie Hancock, Hank Jones and Art Taylor. He later studied music at the graduate level at NYU and wrote film scores. His compositions, including Fair Weather, Lotus Blossom, Prince Albert and Blue Bossa, have been recorded by Clark Terry, Chet Baker, Freddie Hubbard, Art Farmer, Roy Hargrove, Nicholas Payton, Don Friedman, J.J. Johnson, Jimmy Heath, McCoy Tyner, Lou Donaldson, George Benson and by most of his former sidemen, among others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=846
Monk On The Moon,"Walrath, Jack",23,Septet,Trumpet,Alto Sax,Tenor Sax,Trombone|Baritone Sax,,Medium swing,medium-advanced,medium-advanced,"Since emerging from Charles Mingus' group in the 1970s, trumpeter JACK WALRATH has earned a reputation as an adventuresome composer and arranger.
SEPTET INSTRUMENTATION
1st part: Trumpet
2nd part: Alto Sax
3rd part:
Tenor Sax
4th part: Trombone
Optional 4th part: Baritone
Sax Rhythm Section: Piano, Bass, Drums
FULL SCORE
This tonally-advanced Monk tribute begins with individual lines for each member of the ensemble that fit together into a quirky statement of the melody. Then the horns come together and play in more concerted rhythm, but the music's otherworldly quality is maintained through unusual harmonies and permutations of the melodic material.
SOLOS: In contrast to the rest of the chart, the changes are characteristic modern jazz changes full of dominant 7 chords and typical harmonic movement. The changes should be no problem for a soloist reasonably familiar with Monk's music and advanced bebop harmony.",JACK WALRATH,MASTER OF SUSPENSE,Blue Note: CDP 7 46905 2,"JACK WALRATH (trumpet), KENNY GARRETT (alto sax), CARTER JEFFERSON (tenor sax), STEVE TURRE (trombone), JAMES WILLIAMS (piano), ANTHONY COX (bass), RONNIE BURRAGE (drums)","Recorded September 19, 1986","JACK WALRATH (b. 1946). Although he has since recorded many albums as a leader, trumpeter Jack Walrath is still best known for his work with Charles Mingus (1974-79) where he contributed orchestrations to the ailing bassist's final recordings and Mingus Dynasty, which kept the flame alive with alumni like Jimmy Knepper and Dannie Richmond.",http://www.musicdispatch.com/product/viewproduct.do?itemid=844
Moonrise,"Watson, Robert",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Alto Sax|Trombone,,,,Medium swing,medium-easy,medium,"More swinging arrangements by BOBBY WATSON are available from this recording of Watson's Horizon group, featuring Victor Lewis, Roy Hargrove, and Curtis Lundy, all of whom also have arrangements available in this catalog. The group also recorded a composition by Bobby's wife Pamela, a pianist, vocalist and composer (<I>And Then Again</I>).
QUINTET INSTRUMENTATION
1st part: Alto Sax, Trumpet, C treble clef
2nd part: Trombone, Alto Sax, Tenor Sax
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This arrangement alternates sections in which the horns play mostly unisons and those in which they play independent lines, and is therefore excellent for teaching the different requirements for both types of playing. The melody also has a great contour which can really highlight a group's large-scale phrasing.
SOLOS: These unique changes contain a few II-Vs but they're arranged in an unusual way that's sure to open up new melodic avenues while not being  too hard for most improvisers to play over effectively.",BOBBY WATSON & HORIZON,NO QUESTION ABOUT IT,Blue Note: CDP 7 90262,"BOBBY WATSON (alto sax), ROY HARGROVE (trumpet), FRANK LACY (trombone), JOHN HICKS (piano), CURTIS LUNDY (bass), VICTOR LEWIS (drums)","Recorded May 1, 1988","BOBBY WATSON (b. 1953). One of the most gifted composers and arrangers in Jazz today, versatile alto-saxophonist Bobby Watson has recorded his compositions on more than 30 albums in diverse settings from sax quartets as a member of the 29th Street Saxophone Quartet, to combos with his group Horizon, to his ""Tailor Made"" big band. After receiving his degree in music theory and composition from the University of Miami, Bobby completed his jazz education in the late '70s as a member of Art Blakey's Jazz Messengers where he served as music director for 2 years in a group that included Wynton Marsalis, James Williams, Billy Pierce and Charles Fambrough. A recipient of an NEA grant for composition and a frequent clinician across the country, Bobby's works such as Appointment In Milano, Wheel Within A Wheel, Conservation and Beatitudes have been recorded by Blakey, Wynton Marsalis, Kevin Mahogany, T.S. Monk and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=544
No Mystery,"Walrath, Jack",23,Septet,Trumpet,Alto Sax,Tenor Sax,Trombone,,Medium swing,medium,medium,"Since emerging from Charles Mingus' group in the 1970s, trumpeter JACK WALRATH has earned a reputation as an adventuresome composer and arranger.
SEPTET INSTRUMENTATION
1st part: Trumpet
2nd part: Alto Sax
3rd part:
Tenor Sax
4th part: Trombone
Rhythm Section: Piano, Bass, Drums
FULL SCORE
A piano/bass line serves as a counterpoint to the melody which is played by the trumpet the first time. The rest of the ensemble enters soon after repeating the melody and counter line, the two saxes reinforcing the former and the trombone joining the latter. This is the least structured of Walrath's arrangements, but it still contains plenty of inventive melodic and harmonic content as well as some interesting backgrounds behind the solos.
SOLOS: The solos are over some unusual, modern chord changes, but they're no problem with a little preparation. There are backgrounds behind the trumpet and trombone solos that consist mostly of long notes in order to allow maximum rhythmic freedom for the soloist.",JACK WALRATH,MASTER OF SUSPENSE,Blue Note: CDP 7 46905 2,"JACK WALRATH (trumpet), KENNY GARRETT (alto sax), CARTER JEFFERSON (tenor sax), STEVE TURRE (trombone), JAMES WILLIAMS (piano), ANTHONY COX (bass), RONNIE BURRAGE (drums)","Recorded September 19, 1986","JACK WALRATH (b. 1946). Although he has since recorded many albums as a leader, trumpeter Jack Walrath is still best known for his work with Charles Mingus (1974-79) where he contributed orchestrations to the ailing bassist's final recordings and Mingus Dynasty, which kept the flame alive with alumni like Jimmy Knepper and Dannie Richmond.",http://www.musicdispatch.com/product/viewproduct.do?itemid=594
No Question About It,"Watson, Robert",20,Quintet,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,,,,Uptempo swing,medium,medium,"More swinging arrangements by BOBBY WATSON are available from this recording of Watson's Horizon group, featuring Victor Lewis, Roy Hargrove, and Curtis Lundy, all of whom also have arrangements available in this catalog. The group also recorded a composition by Bobby's wife Pamela, a pianist, vocalist and composer (<I>And Then Again</I>).
QUINTET INSTRUMENTATION
Front Line: B-flat, E-flat, C treble clef, C bass clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This is a great chart to challenge a group's uptempo chops. The melody lies well on most any instrument.
SOLOS: The changes, which are challenging at the recorded tempo, but certainly feasible for a serious jazz player, feature fast-moving II-Vs that occasionally alternate with single chords of longer duration that allow for more development of one key area before moving on.",BOBBY WATSON & HORIZON,NO QUESTION ABOUT IT,Blue Note: CDP 7 90262,"BOBBY WATSON (alto sax), ROY HARGROVE (trumpet), FRANK LACY (trombone), JOHN HICKS (piano), CURTIS LUNDY (bass), KENNY WASHINGTON (drums)","Recorded May 1, 1988","BOBBY WATSON (b. 1953). One of the most gifted composers and arrangers in Jazz today, versatile alto-saxophonist Bobby Watson has recorded his compositions on more than 30 albums in diverse settings from sax quartets as a member of the 29th Street Saxophone Quartet, to combos with his group Horizon, to his ""Tailor Made"" big band. After receiving his degree in music theory and composition from the University of Miami, Bobby completed his jazz education in the late '70s as a member of Art Blakey's Jazz Messengers where he served as music director for 2 years in a group that included Wynton Marsalis, James Williams, Billy Pierce and Charles Fambrough. A recipient of an NEA grant for composition and a frequent clinician across the country, Bobby's works such as Appointment In Milano, Wheel Within A Wheel, Conservation and Beatitudes have been recorded by Blakey, Wynton Marsalis, Kevin Mahogany, T.S. Monk and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=670
One Chance At Life,"Watson, Robert",15,Sax Quartet,Alto Sax 1,Alto Sax 2,Tenor Sax,Baritone Sax,,Ballad,medium-easy,,"SAX QUARTET INSTRUMENTATION
Alto Sax 1
Alto Sax 2
Tenor Sax
Baritone Sax
FULL SCORE
Both of the altos and the tenor trade the melody in this quiet, contemplative composition. There aren't any improvised solos or significant technical demands, although the first alto goes briefly up to altissimo A. This one will show off a passionate and musically sensitive quartet.",29TH STREET SAXOPHONE QUARTET,POINTILLISTIC GROOVE,Osmosis: 6002,"BOBBY WATSON (alto sax), ED JACKSON (alto sax), RICH ROTHENBERG (tenor sax), JIM HARTOG (baritone sax)","Recorded November 19 & 25, 1983","BOBBY WATSON (b. 1953). One of the most gifted composers and arrangers in Jazz today, versatile alto-saxophonist Bobby Watson has recorded his compositions on more than 30 albums in diverse settings from sax quartets as a member of the 29th Street Saxophone Quartet, to combos with his group Horizon, to his ""Tailor Made"" big band. After receiving his degree in music theory and composition from the University of Miami, Bobby completed his jazz education in the late '70s as a member of Art Blakey's Jazz Messengers where he served as music director for 2 years in a group that included Wynton Marsalis, James Williams, Billy Pierce and Charles Fambrough. A recipient of an NEA grant for composition and a frequent clinician across the country, Bobby's works such as Appointment In Milano, Wheel Within A Wheel, Conservation and Beatitudes have been recorded by Blakey, Wynton Marsalis, Kevin Mahogany, T.S. Monk and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=830
Plunger Techniques,"Grey, Al / Grey, Mike",7,Method,Trumpet|Trombone (all brasses),,,,,,beginner - advanced,,"Learn how to play the plunger from a master of the art: AL GREY. As a widely acclaimed jazz trombonist, Al has demonstrated his unique plunger talents with a variety of different bands, most notably with Count Basie. Al has developed a new way to notate the subtle effects plunger playing can achieve and he explains the secrets of correct equipment preparation and technique.
Detailed instruction is accompanied by exercises and examples which are demonstrated on a cassette (available separately) by Al alone and with a studio brass and rhythm section.
Edited by Pete Hyde.",AL GREY,PLUNGER TECHNIQUES CASSETTE,,AL GREY and trombone section,,"AL GREY (b. 1925) A distinctive soloist and a master of the plunger mute, Al Grey's trombone playing has graced the big bands of Benny Carter, Lionel Hampton, Jimmy Lunceford, and most notably, Count Basie. He has recorded many albums as a leader and continues to record and tour.  MIKE GREY Like his father, the legendary Al Grey, Mike Grey is an accomplished trombonist and is known for his skill with the plunger mute.",http://www.musicdispatch.com/product/viewproduct.do?itemid=847
Plunger Techniques Cassette,"Grey, Al / Grey, Mike",4,Cassette,Trumpet|Trombone (all brasses),,,,,,beginner - advanced,,"Learn how to play the plunger from a master of the art: AL GREY. As a widely acclaimed jazz trombonist, Al has demonstrated his unique plunger talents with a variety of different bands, most notably with Count Basie. Al has developed a new way to notate the subtle effects plunger playing can achieve and he explains the secrets of correct equipment preparation and technique.
Detailed instruction is accompanied by exercises and examples which are demonstrated on a cassette (available separately) by Al alone and with a studio brass and rhythm section.",AL GREY,PLUNGER TECHNIQUES CASSETTE,,AL GREY and trombone section,,"AL GREY (b. 1925) A distinctive soloist and a master of the plunger mute, Al Grey's trombone playing has graced the big bands of Benny Carter, Lionel Hampton, Jimmy Lunceford, and most notably, Count Basie. He has recorded many albums as a leader and continues to record and tour.  MIKE GREY Like his father, the legendary Al Grey, Mike Grey is an accomplished trombonist and is known for his skill with the plunger mute.",http://www.musicdispatch.com/product/viewproduct.do?itemid=848
Time Off,"Fuller, Curtis",23,Octet,Trumpet 1|Alto Sax,Trumpet 2|Alto Sax,Alto Sax|Tenor Sax,Tenor Sax|Trombone,Trombone|Baritone Sax,Uptempo swing,medium,medium,"Like <B><I>OTB</I></B>, Blue Note's <B><I>Superblue</B></I> recordings feature today's leading contemporary jazz figures.
OCTET INSTRUMENTATION
1st part: Trumpet 1, Alto Sax
2nd part: Trumpet 2, Alto Sax
3rd part: Alto Sax, Tenor Sax
4th part: Tenor Sax, Trombone
5th part: Trombone, Baritone Sax
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This one's a straight-ahead burner with a great head that will challenge your musicians individually and collectively with its impressive bebop lines and rhythmically-displaced figures.
SOLOS: The solos are comfortable bebop changes that are fun to stretch out on.
OTHER RECORDINGS
Art Blakey/Ugetsu (OJC(Riverside) 090)
Danny D'Imperio/Blues For Philly Joe (VSOP 81)",SUPERBLUE,SUPERBLUE,Blue Note: CDP 7 91731 2,"DON SICKLER (trumpet), ROY HARGROVE (trumpet), BOBBY WATSON (alto sax), BILL PIERCE (tenor sax), FRANK LACY (trombone), MULGREW MILLER (piano), BOB HURST (bass), KENNY WASHINGTON (drums)","Recorded April 26, 1988","CURTIS FULLER (b. 1934). Possibly the greatest trombonist-composer since J.J. Johnson, Curtis is one of the many great Detroit bop players, including Tommy Flanagan, Paul Chambers, and Hank Jones, all of whom he recorded with. After stints with Cannonball Adderley, Kenny Burrell and Miles Davis, he joined the Golson-Farmer Jazztet ('59-60) and was with Art Blakey's Jazz Messengers ('62-65) in a group that included Wayne Shorter, Freddie Hubbard and Cedar Walton. Except for tours with Dizzy Gillespie ('68) and Count Basie ('75-78), Curtis has freelanced since the mid '60s and has played on scores of albums as both a leader and a sideman, frequently with his fellow Jazztet and Messenger alums. Curtis was influenced by his friend, John Coltrane, and can be heard on the classic ""Blue Train"" album",http://www.musicdispatch.com/product/viewproduct.do?itemid=702
